Elements, M Seq, M Par, Q Seq, Q Par
0, 0, 0, 0, 0
10000, 4, 5, 2, 2
20000, 3, 1, 2, 2
30000, 4, 1, 2, 1
40000, 5, 2, 3, 1
50000, 6, 2, 4, 2
60000, 8, 3, 5, 2
70000, 10, 3, 6, 2
80000, 11, 4, 8, 2
90000, 13, 4, 9, 3
100000, 15, 4, 9, 3
110000, 15, 4, 10, 3
120000, 17, 5, 11, 3
130000, 18, 5, 12, 4
140000, 20, 5, 13, 4
150000, 22, 6, 14, 5
160000, 23, 7, 15, 5
170000, 25, 7, 20, 5
180000, 26, 7, 20, 6
190000, 28, 8, 18, 5
200000, 47, 12, 24, 6
210000, 32, 8, 20, 7
220000, 34, 9, 21, 7
230000, 35, 9, 22, 7
240000, 36, 14, 23, 7
250000, 38, 11, 25, 7
260000, 40, 10, 25, 8
270000, 41, 12, 27, 8
280000, 43, 11, 28, 9
290000, 44, 13, 29, 9
300000, 46, 12, 30, 9
310000, 49, 13, 31, 10
320000, 49, 14, 32, 10
330000, 51, 13, 33, 10
340000, 52, 15, 34, 11
350000, 54, 15, 35, 11
360000, 55, 16, 36, 11
370000, 57, 15, 37, 12
380000, 59, 15, 38, 12
390000, 60, 19, 41, 12
400000, 62, 16, 40, 12
410000, 63, 16, 41, 13
420000, 65, 18, 43, 13
430000, 67, 17, 43, 13
440000, 68, 19, 54, 15
450000, 72, 19, 46, 14
460000, 72, 18, 47, 14
470000, 73, 19, 48, 15
480000, 75, 23, 52, 16
490000, 77, 22, 52, 15
